district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,193584,17048,176558,114877,48193,243,4530,376,1715,3740,1253,1624,189,1691,6153,52110,144971,10776,134204,90094,35466,152,3816,284,808,1926,919,739,171,1243,4561,37506
2,183083,12429,170589,69069,92873,121,2619,121,901,2779,495,1002,521,1132,3613,96182,143947,7907,136007,59701,70485,83,2110,85,653,1271,435,660,403,921,2756,72224
3,191010,12258,178758,128795,40066,248,1787,29,1167,3900,1711,1031,133,2094,2818,44091,149382,7584,141772,104705,31363,250,1417,25,732,1241,1249,707,122,1623,2124,32725
4,192917,9928,183032,126897,46389,281,2345,174,868,3524,1274,855,331,1885,3209,50247,147828,5770,142082,101175,35194,265,1747,135,417,1442,936,405,316,1516,2160,36944
5,140474,47474,92842,27725,44830,182,15268,170,820,2084,416,850,401,1063,16190,47311,94749,23585,71020,22293,33331,161,12620,96,475,843,303,537,277,793,13156,34471
6,176635,13753,162891,107970,39264,212,8426,67,1187,2792,490,1887,606,1322,10351,42684,142467,9165,133357,89684,32558,145,6526,66,714,1818,351,1028,430,944,7585,34825
7,165118,25279,139827,65035,37511,165,29503,11,1141,3631,550,2081,169,883,31594,41306,123741,14753,108989,54563,28035,114,22865,17,754,1125,498,815,137,748,23678,29303
8,189431,11293,178132,112564,58642,256,1830,51,430,2023,930,956,341,1525,2786,61014,141937,6643,135320,88535,42560,224,1312,47,307,837,766,441,252,1240,1753,43650
9,172169,31501,140705,55606,56842,145,20642,45,1368,3186,542,1748,373,1077,22369,60440,122893,16557,106407,45475,41960,114,15391,43,594,1268,386,765,264,806,16132,43557
10,183166,9975,173171,35329,127251,98,5307,125,1135,2318,461,555,749,1310,5844,130348,141927,6073,135847,29448,99172,84,4154,60,435,1448,356,269,514,956,4414,101150
11,183013,13175,169838,105054,59781,280,1145,28,865,1375,925,189,196,1401,1334,61352,138049,6494,131555,84361,43870,257,941,10,536,538,746,121,175,1178,1062,44583
12,182298,4851,177447,60656,111279,256,1063,24,298,1922,1334,368,247,1837,1431,113448,140442,2500,137942,50687,83878,268,914,23,150,670,883,270,199,1350,1184,84747
13,183500,10551,172938,114240,52164,221,1403,93,116,1842,2073,637,138,2432,2040,54145,138378,5825,132536,90543,38118,138,1064,65,87,515,1545,334,118,1802,1398,38751
14,172780,19017,153819,100272,35878,137,10362,9,1390,3111,459,2012,250,835,12374,39243,135479,10881,124653,83443,28090,118,8584,11,1006,2012,345,835,252,699,9419,30342
15,180795,11928,168880,61698,97307,205,2153,326,1459,3280,814,1268,435,1450,3416,101017,138057,7463,130596,50117,73933,148,1933,294,653,1659,740,761,370,1260,2689,75973
16,193613,10709,182902,127166,47114,106,3034,95,852,1935,1081,1218,294,1480,4247,49349,147830,7067,140768,100854,35021,109,2139,47,531,602,735,495,230,1075,2626,35861
17,197185,11072,186112,104778,70501,185,2637,15,967,3311,2026,896,1031,3226,3545,74713,146862,6260,140609,82682,50833,138,1880,18,519,1775,1467,508,836,2438,2385,53422
18,190709,9637,181085,110334,60209,197,2980,111,773,3568,1335,1007,509,2035,3992,64295,146670,5375,141264,88501,46743,100,2059,109,564,1462,1047,304,400,1536,2359,48631
19,189984,15312,174683,120088,46749,271,711,184,875,2657,2271,640,248,2790,1351,49653,143704,8194,135527,94572,35990,226,633,94,784,1082,1678,255,222,2125,888,37294
20,194925,7496,187428,116784,61951,293,2657,301,911,2233,973,842,497,1764,3499,64682,148977,4583,144393,91902,47559,265,1945,254,393,473,749,482,364,1379,2427,48403
21,186196,17272,168870,140456,14484,128,8208,0,654,2390,1012,1311,228,1370,9514,17061,138048,9349,128657,109714,10505,92,5271,11,392,1162,716,632,135,947,5893,11768
22,187582,10130,177472,56922,110392,104,2424,215,1176,4041,743,1027,385,1231,3452,114811,144114,6781,137345,47567,83460,103,2079,143,655,1807,590,605,295,988,2684,85574
23,193101,8824,184246,105240,70691,66,1432,25,983,2945,1389,1060,427,1895,2480,74086,146578,5133,141427,83487,52555,68,1140,23,563,1435,1155,694,366,1598,1831,54342
24,192406,10083,182334,133000,36349,285,6075,39,709,2552,2087,945,324,2684,7031,39209,148872,6379,142499,105876,27928,270,4396,37,511,1090,1554,547,272,2087,4946,29292
25,196236,8431,187794,112207,66492,189,2317,263,776,2021,1659,684,862,2718,3011,69421,151962,5345,146615,90030,50474,159,1651,223,440,1019,1349,319,751,2258,1976,52256
26,184549,6216,178316,65495,105694,194,1793,55,722,2699,825,430,529,1547,2220,108886,141016,3720,137323,55263,77196,173,1589,47,296,1332,743,250,477,1404,1843,78969
27,182774,17659,165115,135242,8478,91,15595,37,743,1556,1002,2369,0,1093,17966,10034,133603,10643,122960,104743,6303,71,8291,34,483,769,742,1509,16,829,9800,7088
